Unnamed:0,52,Attribute A,Attribute B,Attribute C,Attribute D,Attribute E,Attribute F,Attribute G,Attribute H,Attribute I,Attribute J,Attribute K,Target
,,,,,,,,,,,,,
0.06822409973,0.3701028773,0.006830498014,0.3223646623,0.4504830618,0.9334279759,0.6704280939,0.8935910187,0.5114303864,0.3244159719,0.6152238323,0.5404110915,0.8069677123,0.5137382859
0.7870752434,0.6321864708,0.717796448,0.7893725804,0.7646264977,0.8107534214,0.9865621239,0.4833015804,0.7236484783,0.1002803469,0.8978305143,0.8129220328,0.1596034945,0.8609842204
0.771956378,0.4369743307,0.1561374905,0.4591224922,0.139778547,0.03518504571,0.8687124684,0.1553827163,0.09280409497,0.4479372916,0.4931862299,0.9086162486,0.2523798057,0.5870392578
0.8098629591,0.6386785594,0.5438458323,0.9652839348,0.3261522419,0.2107192746,0.5952908888,0.007420157422,0.5978382749,0.03216784385,0.2038852512,0.9389887519,0.4395345755,0.1028268099
0.05569404681,0.7963108473,0.9826938682,0.9186839088,0.5377846489,0.7195353896,0.9809836842,0.3540954027,0.2635137066,0.05005247397,0.138149122,0.03428933446,0.9309458865,0.6776535495
0.9071678457,0.9123904174,0.9323646869,0.4150723163,0.6113617225,0.557961593,0.4645564011,0.6079259823,0.9861996661,0.907687148,0.6169369843,0.8469234345,0.2601768906,0.19410994
0.6329811934,0.5633048591,0.1482914389,0.08691781394,0.332949556,0.7944433755,0.5270096237,0.2516607891,0.5573586607,0.9084565873,0.9347367759,0.555996202,0.3459117404,0.9105332088
0.04714311943,0.03062255199,0.5831267349,0.2223158205,0.2942778199,0.939896716,0.2205841233,0.4975444206,0.6026613677,0.8557948632,0.3188275498,0.9292066201,0.03476172354,0.4494275798
0.4324738995,0.5063888183,0.2436900507,0.1341586244,0.1892126991,0.8016521841,0.9513372554,0.2719858068,0.07442349182,0.8714265963,0.2372270925,0.1737281561,0.004112873577,0.6440529384
0.6961900287,0.7658968215,0.7920812408,0.7506044885,0.8987995195,0.4454668732,0.8440053789,0.8043429723,0.7247890077,0.8322133807,0.6061686837,0.9536982161,0.1726799925,0.210422095
0.4722477862,0.9410876821,0.4729387361,0.4697675336,0.2553838451,0.3813321227,0.670708739,0.1405806703,0.005633058732,0.979084174,0.6075241226,0.433457568,0.9847422508,0.7302183987
0.9710234454,0.700814756,0.04043633406,0.9839028405,0.7651633603,0.3264135539,0.2701594299,0.07399225944,0.9318356136,0.8772829921,0.1856637878,0.6058779383,0.6758438666,0.3153417815
0.03510537034,0.6222221854,0.2304807767,0.5448891921,0.8336661532,0.723601393,0.3555280962,0.7371152596,0.8304805224,0.5588856556,0.08658739662,0.1430199763,0.2129742707,0.1854826281
0.4250016446,0.9162673842,0.3210963855,0.8553695396,0.7237995781,0.5831552382,0.5284770477,0.1430509999,0.09105173967,0.2047662203,0.9252692586,0.562341236,0.9992252758,0.8191582725
0.3754186139,0.3368143581,0.9454063903,0.365406498,0.4455523016,0.4885720945,0.049540066,0.7525748161,0.4904810737,0.0989197411,0.5426815165,0.4826052579,0.5843740767,0.6732164183
0.3439398317,0.02056640191,0.3828802166,0.8535958253,0.05810592634,0.2358147626,0.2746822982,0.09141828313,0.2933391985,0.01019365819,0.6525343675,0.5136466743,0.9022215463,0.9864924187
0.920238027,0.7711603619,0.5303713808,0.5086347147,0.5811025655,0.9078306425,0.5314324211,0.5410445882,0.4674187031,0.3635629016,0.6216093269,0.87035026,0.6545524137,0.3340917254
0.7311218157,0.3027411686,0.8779282248,0.5350554597,0.9907584837,0.03977087112,0.9485354246,0.980741801,0.8303427726,0.9297489913,0.6087503476,0.6378518585,0.8534547181,0.4038660718
